,url,description,neighborhood,price,bedrooms
79,https://sfbay.craigslist.org/eby/apa/d/oakland-large-2-bedroom-2-bath-near/7083754478.html,"Large 2 Bedroom, 2 Bath Near Lake Merritt",oakland/grand,2700.0,2.0
80,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-brand-new-home-in-santa-clara/7085346838.html,Brand new home in Santa Clara 4Br/3.5Bath,santa clara,6400.0,4.0
81,https://sfbay.craigslist.org/pen/apa/d/mountain-view-move-in-now-newly/7085346286.html,"Move In Now, Newly Renovated, Close to Castro Street",mountain view,3862.0,2.0
82,https://sfbay.craigslist.org/sby/apa/d/san-jose-2-car-garage-beautiful/7085331831.html,2-Car Garage! Beautiful Townhouse Style Home Available Soon!,san jose,3552.0,2.0
85,https://sfbay.craigslist.org/sby/apa/d/santa-clara-if-you-love-bright-natural/7085322627.html,"If you love BRIGHT, NATURAL LIGHT then you'll love our selection",santa clara,3625.0,2.0
87,https://sfbay.craigslist.org/sby/apa/d/san-jose-at-last-this-is-what-youve/7085335994.html,"At Last, This Is What You've Been Searching For.",santa clara,2795.0,2.0
90,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-tour-today-homes-leasing/7085312767.html,Tour Today! Homes Leasing Quickly!,santa rosa,2645.0,3.0
93,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-2-bed-den-up-to-4/7071632870.html,LARGE 2 BED + DEN! - UP TO 4 WEEKS FREE!,san francisco,6746.0,2.0
95,https://sfbay.craigslist.org/eby/apa/d/fremont-bed-corner-unit-yard-wash-dryer/7072708473.html,$2449-1 BED CORNER UNIT W/YARD & WASH/DRYER!,fremont/union city/newark,2449.0,1.0
96,https://sfbay.craigslist.org/eby/apa/d/fremont-beautiful-1-bed-for-2399-first/7070219546.html,"BEAUTIFUL 1 BED FOR $2399!  FIRST COME, FIRST SERVE!",fremont/union city/newark,2399.0,1.0
97,https://sfbay.craigslist.org/eby/apa/d/fremont-special-1-month-free-on-all-one/7070216810.html,*SPECIAL* 1 MONTH FREE ON ALL ONE BEDS!,fremont/union city/newark,2499.0,1.0
102,https://sfbay.craigslist.org/eby/apa/d/light-filled-2-bedroom-adams-point/7085343413.html,Light-Filled 2 Bedroom Adam's Point Apartment,oakland/grand,2800.0,2.0
