,url,description,neighborhood,price,bedrooms
536,https://sfbay.craigslist.org/eby/apa/d/union-city-great-place-to-call-home-1bd/7085296778.html,Great Place To Call Home! 1BD 1BA Within Minutes of BART and Shopping!,fremont/union city/newark,2095.0,1.0
537,https://sfbay.craigslist.org/sby/apa/d/san-jose-top-floor-south-facing-2x2/7085296678.html,"Top Floor, South Facing 2x2! Available March. 10th!",san jose,2841.0,2.0
540,https://sfbay.craigslist.org/sby/apa/d/los-altos-luxurious-bath-modern-kitchen/7071002062.html,"Luxurious bath, Modern kitchen, Mountain View 2BR 2BA apt, A Must See!",mountain view,3295.0,2.0
543,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-1-bedroom-1-bath-available-now/7076046451.html,1 Bedroom 1 Bath *** Available now!!!,sunnyvale,2245.0,1.0
544,https://sfbay.craigslist.org/eby/apa/d/fremont-specialgreat-location-2-bedroom/7085296370.html,*SPECIAL*GREAT LOCATION* 2 BEDROOM/2 BATHROOM APARTMENT!,fremont/union city/newark,2350.0,2.0
546,https://sfbay.craigslist.org/eby/apa/d/pleasanton-bocce-ball-courts-wood-style/7085296069.html,"Bocce Ball courts, Wood-style flooring, Ceiling Fans, Bark Park",dublin/pleasanton/livermore,2760.0,1.0
547,https://sfbay.craigslist.org/sby/apa/d/san-jose-99-deposit-99-deposit/7085295670.html,"$99 DEPOSIT! $99 DEPOSIT! Beautiful upstairs1 bed, 1 bath apartment.",san jose,2150.0,1.0
550,https://sfbay.craigslist.org/sby/apa/d/santa-clara-3-br-1ba-single-family-home/7075905646.html,"3 BR/1BA Single family home, Fully furnished, Available Now!",santa clara,1.0,3.0
552,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-studios-1-bath-available-now/7076029149.html,Studios/1 Bath*** Available now,sunnyvale,1945.0,1.0
555,https://sfbay.craigslist.org/sby/apa/d/santa-clara-plenty-of-storage-fully/7084099392.html,"Plenty of storage, Fully-equipped kitchen, 1BR 1BA apt, Near Apple",santa clara,2295.0,1.0
557,https://sfbay.craigslist.org/eby/apa/d/fremont-townhome-near-ca-238-mission/7085287659.html,"Townhome, near CA-238 N/Mission Blvd! W/D in unit!",fremont/union city/newark,2895.0,2.0
558,https://sfbay.craigslist.org/eby/apa/d/oakland-bed-with-loft-2bath-luxury-condo/7085293197.html,"$4500 2Bed with Loft, 2Bath Luxury Condo",oakland/grand,4500.0,2.0
562,https://sfbay.craigslist.org/eby/apa/d/fremont-1-bedroom-1-bath/7085288906.html,1 bedroom 1 bath,fremont/union city/newark,2000.0,1.0
565,https://sfbay.craigslist.org/eby/apa/d/fremont-three-bedroom-available-soon/7085288804.html,Three Bedroom Available Soon! Call For Details!,fremont/union city/newark,3035.0,3.0
566,https://sfbay.craigslist.org/eby/apa/d/fremont-two-bed-updated-tile-floor-d/7085286170.html,"Two bed, Updated, Tile floor, W/D onsite, Fremont.",fremont/union city/newark,2531.0,2.0
567,https://sfbay.craigslist.org/eby/apa/d/pleasanton-modern-studio-next-to-bart/7085292572.html,Modern studio next to Bart!,dublin/pleasanton/livermore,2076.0,1.0
569,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-must-see-beautiful-2/7082118501.html,MUST SEE! Beautiful 2 Bedroom 'home; Close to EVERYTHING,san francisco,590.0,3.0
573,https://sfbay.craigslist.org/sby/apa/d/mountain-view-mountain-view-call-to/7084112715.html,Mountain View- Call to Learn about Ou Concessions!,mountain view,3515.0,2.0
574,https://sfbay.craigslist.org/eby/apa/d/berkeley-super-clean-2-bedroom-apartment/7084007300.html,Super clean 2 bedroom apartment,berkeley,2950.0,2.0
575,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-12th-floor-studio/7085291891.html,SUNNY 12TH FLOOR STUDIO,san francisco,2568.0,1.0
576,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-1b1b-oversized-patio-c-washer/7085266728.html,1B1B - OverSized Patio - A/C - Washer/Dryer - Murphy Park,sunnyvale,3212.0,1.0
579,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-2-bedrooms-2-baths/7084032912.html,HUGE 2 bedrooms/2 baths Pac Hghts PRIVATE PATIO + FIREPLACE +BAY VIEWS,san francisco,5750.0,2.0
581,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spectacular-view/7085291262.html,Spectacular View Apartment includes utilities,san francisco,3195.0,1.0
582,https://sfbay.craigslist.org/sby/apa/d/san-jose-generous-pantry-with/7085291165.html,"Generous pantry with adjustable shelves, In-home washer and dryer",san jose,3355.0,2.0
583,https://sfbay.craigslist.org/eby/apa/d/vacaville-affordable-and-adorable/7085291107.html,Affordable AND Adorable!,fairfield/vacaville,1845.0,1.0
586,https://sfbay.craigslist.org/sby/apa/d/san-jose-personal-garage-beautiful/7085272858.html,Personal Garage! Beautiful Townhouse Style Home W/ Great View!,san jose,3472.0,2.0
587,https://sfbay.craigslist.org/sby/apa/d/santa-clara-2-bedroom-apartment-has/7085290904.html,2 Bedroom Apartment Has Beautiful Vinyl Flooring!!,santa clara,3425.0,2.0
589,https://sfbay.craigslist.org/eby/apa/d/vacaville-call-for-specialsdont-miss/7085290782.html,Call for Specials...Dont Miss out on this Beautiful Townhome!,fairfield/vacaville,2045.0,2.0
593,https://sfbay.craigslist.org/sby/apa/d/san-jose-santana-heights-offers-you/7085282301.html,Santana Heights Offers You A Variety Of Resort Style Amenities!,san jose,4638.0,2.0
594,https://sfbay.craigslist.org/eby/apa/d/dublin-new-reduced-price-apply-online/7082818000.html,NEW REDUCED PRICE!! APPLY ONLINE TODAY!! OR CALL FOR MORE INFO!!,dublin/pleasanton/livermore,2950.0,2.0
595,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-and-large-one/7085290436.html,REMODELED and LARGE one bedroom in prime Pacific Heights!,san francisco,3995.0,1.0
605,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-bask-in-sunlight-with-this/7085289691.html,Bask in sunlight with this cozy 1 bedroom apartment home!,sunnyvale,3225.0,1.0
607,https://sfbay.craigslist.org/eby/apa/d/fremont-ground-floor-one-bedroom-coming/7085284451.html,Ground Floor One Bedroom Coming Soon To Terra! Pets Welcome!,fremont/union city/newark,2219.0,1.0
612,https://sfbay.craigslist.org/sby/apa/d/san-jose-unique-floor-plan-with-wrap/7079957618.html,UNIQUE FLOOR PLAN WITH WRAP-AROUND WINDOWS IN THIS BEAUTIFUL 2BR/BA,san jose,3274.0,2.0
614,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-new-studios-with/7080923646.html,BEAUTIFUL NEW STUDIOS WITH AMAZING AMENITIES! 2 MONTHS FREE,san jose,2109.0,1.0
615,https://sfbay.craigslist.org/sby/apa/d/san-jose-luxury-amenities-2-months-free/7080337966.html,LUXURY AMENITIES + 2 MONTHS FREE + $1500 LOOK & LEASE ON NEW 1BD/1BA,san jose,2297.0,1.0
616,https://sfbay.craigslist.org/sby/apa/d/san-jose-our-only-3-bedroom-in-misora/7085287468.html,"Our ONLY 3 Bedroom In Misora, Available NOW!!!",san jose,5916.0,3.0
620,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apartment-in-the/7085286671.html,STUDIO Apartment In The Heart Of The City Available Now!,soma/south beach,2899.0,1.0
621,https://sfbay.craigslist.org/sby/apa/d/san-jose-1br-views-nr-san-pedro-sq/7067204322.html,"1BR W/ VIEWS NR SAN PEDRO SQ, QUIET AREA, WALK TO DOWNTOWN SJ",san jose,3195.0,1.0
624,https://sfbay.craigslist.org/sby/apa/d/san-jose-craftsmanquiet/7071544974.html,CRAFTSMAN*QUIET AREA*PATIO*STAINLESS*WALK TO DOWNTOWN RESTAURANTS,san jose,3295.0,2.0
626,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-cottage-for-rent/7085286463.html,Studio (cottage) for rent,san francisco,2150.0,1.0
628,https://sfbay.craigslist.org/sby/apa/d/san-jose-3br-2-ba-in-quiet-loft-area/7078321235.html,"3BR 2 BA IN QUIET LOFT AREA, WALKING DIST TO DOWNTOWN SJ, SAN PEDRO SQ",san jose,3495.0,3.0
629,https://sfbay.craigslist.org/sby/apa/d/mountain-view-walkable-modern-oversized/7073735414.html,Walkable Modern Oversized One Bedroom in A+ Location,mountain view,2795.0,1.0
632,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-apartment-in-mission-bay/7081127789.html,Apartment in Mission Bay,soma/south beach,3570.0,1.0
634,https://sfbay.craigslist.org/eby/apa/d/berkeley-charming-studio-quiet-for/7085285817.html,CHARMING  STUDIO QUIET for Student next to SODA HALL Northside UCB,berkeley,1975.0,1.0
635,https://sfbay.craigslist.org/sby/apa/d/san-jose-quartz-countertops-available/7085285667.html,Quartz Countertops Available in This Two-Bedroom Apartment,san jose,3266.0,2.0
636,https://sfbay.craigslist.org/pen/apa/d/mountain-view-eco-friendly-living-with/7085285621.html,Eco-friendly living with recently remodeled 3BR unit,mountain view,3950.0,3.0
637,https://sfbay.craigslist.org/sby/apa/d/san-jose-open-house-at-oak-park/7085285455.html,OPEN HOUSE AT OAK PARK APARTMENTS!  $500 OFF FIRST MONTHS RENT!,san jose,2675.0,2.0
638,https://sfbay.craigslist.org/sby/apa/d/san-jose-3rd-floor-one-bedroom/7085285415.html,3rd Floor One Bedroom! Available Now!,san jose,2595.0,1.0
639,https://sfbay.craigslist.org/nby/apa/d/cotati-today-open-house-9-am-to-5-pm/7085285350.html,TODAY - OPEN HOUSE! - 9 am to 5 pm *MOVE IN SPECIAL*,santa rosa,1725.0,1.0
641,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-garden-view-double-parlor/7085281504.html,Garden View Double Parlor,san francisco,3460.0,1.0
642,https://sfbay.craigslist.org/sby/apa/d/san-jose-2x1-tailored-for-you/7085272238.html,2x1 Tailored For You! Everything Brand New w/ 2 Mo. Free Rent!,san jose,3061.0,2.0
644,https://sfbay.craigslist.org/eby/apa/d/vacaville-hurry-2x2-available-now-rare/7085284953.html,"✅ Hurry! 2x2 Available NOW, Rare, Move-In Specials! 🎇",fairfield/vacaville,1975.0,2.0
645,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-top-floor-1-bedroom/7085284820.html,"Beautiful, Top Floor 1 Bedroom With Pool View!",san jose,2675.0,1.0
646,https://sfbay.craigslist.org/eby/apa/d/vacaville-amazing-amenities-at-camden/7085284808.html,♦️ Amazing Amenities at Camden Parc! ♦️ Space is Limited,fairfield/vacaville,2000.0,2.0
647,https://sfbay.craigslist.org/sby/apa/d/santa-clara-open-house-today-1-4-huge/7085284580.html,***OPEN HOUSE today 1-4 Huge unit - Great Location!!!***,santa clara,2800.0,2.0
651,https://sfbay.craigslist.org/eby/apa/d/livermore-beautiful-livermore-single/7076374120.html,"Beautiful Livermore Single Family House 4Br, 2.5 BA with huge backyard",dublin/pleasanton/livermore,3550.0,4.0
654,https://sfbay.craigslist.org/nby/apa/d/cotati-open-house-today-3-1-from-9-am/7085283315.html,OPEN HOUSE - TODAY 3/1 from 9 am to 5 pm! $200 OFF the 1st 6 months !,santa rosa,1725.0,1.0
656,https://sfbay.craigslist.org/sby/apa/d/santa-clara-visit-your-new-home-fitness/7085283231.html,"Visit Your New Home, Fitness Center, Pet Friendly, Unit with W/D",santa clara,2491.0,1.0
658,https://sfbay.craigslist.org/sby/apa/d/san-jose-elegant-3-bed-25-bath-campbell/7085282938.html,"Elegant 3 bed, 2.5 bath Campbell home with good access to work and fun",san jose,4900.0,3.0
661,https://sfbay.craigslist.org/eby/apa/d/emeryville-apt/7083825083.html,apt,berkeley,2150.0,2.0
663,https://sfbay.craigslist.org/sby/apa/d/palo-alto-upgraded-appliances-huge-walk/7084051810.html,Upgraded appliances! Huge Walk in Closet with built in Organizer,mountain view,4625.0,1.0
664,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-check-out-this-unique/7085282244.html,Check out this unique floorplan! Designed with you in mind ☀,sunnyvale,3345.0,1.0
668,https://sfbay.craigslist.org/nby/apa/d/rohnert-park-furnished-granny-studio/7082743090.html,Furnished granny- studio unit,santa rosa,1100.0,1.0
677,https://sfbay.craigslist.org/eby/apa/d/tracy-beautiful-new-contemporary-tracy/7085280841.html,Beautiful New Contemporary Tracy House (must see),dublin/pleasanton/livermore,2700.0,4.0
680,https://sfbay.craigslist.org/sby/apa/d/san-jose-2x2-home-with-deluxe-kitchen/7085280470.html,2X2 HOME WITH DELUXE KITCHEN IN SAN JOSE,san jose,2878.0,2.0
682,https://sfbay.craigslist.org/eby/apa/d/vacaville-sleep-soundly-here-at-camden/7085280379.html,💤 Sleep Soundly Here at Camden Parc!😊,fairfield/vacaville,200.0,2.0
685,https://sfbay.craigslist.org/eby/apa/d/vacaville-camden-parc-is-pet-friendly/7085280088.html,🐱Camden Parc Is Pet FRIENDLY🐶,fairfield/vacaville,1975.0,2.0
686,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ground-floor-apartment/7085279969.html,Ground floor apartment with huge living room and high ceilings,soma/south beach,3351.0,1.0
687,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1st-floor-1br1b-spacious/7085279898.html,"1st floor! 1BR1B! Spacious, modern & chic!",san jose,2732.0,1.0
689,https://sfbay.craigslist.org/sby/apa/d/san-jose-1308-bernoulli-pl-san-jose-ca/7085279600.html,"1308 Bernoulli Pl, San Jose, CA - Unit #7",san jose,4900.0,4.0
690,https://sfbay.craigslist.org/eby/apa/d/oakland-large-freshly-remodeled-1br1ba/7082214580.html,"Large, ++freshly remodeled 1br1ba in Adam's point! Sun 1-2 or by appt",oakland/grand,2430.0,1.0
691,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-one-month-freekick-back-and/7085274978.html,ONE MONTH FREE!!KICK BACK AND RELAX...COZY RESORT LIVING IS STEPS AWAY,santa rosa,2984.0,3.0
693,https://sfbay.craigslist.org/eby/apa/d/livermore-1-bedroom-available-now-live/7085279201.html,1 Bedroom Available Now! Live Steps From Sandia Lab! Waived App Fee*,dublin/pleasanton/livermore,2025.0,1.0
695,https://sfbay.craigslist.org/eby/apa/d/vacaville-home-sweet-home-here-at/7085278931.html,"🏠Home SWEET Home, Here At Camden Parc II!🏠",fairfield/vacaville,1670.0,2.0
696,https://sfbay.craigslist.org/eby/apa/d/vacaville-hurry-2x2-available-now/7085278742.html,✅ Hurry! 2x2 Available NOW w/SPECIALS!!,fairfield/vacaville,1975.0,2.0
697,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-2-br-apartment/7074762059.html,Charming 2 BR apartment on Nob Hill,san francisco,2900.0,2.0
698,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-great-location-close-to/7085278696.html,"GREAT LOCATION! CLOSE TO TENNIS COURTS, PARK, AND A TRACK!",sunnyvale,2213.0,1.0
699,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-renovated-2-br/7085272678.html,Newly Renovated 2 Br  Perfect for Roommates,soma/south beach,4648.0,2.0
702,https://sfbay.craigslist.org/eby/apa/d/dublin-spacious-one-bedroom-available/7085278358.html,Spacious One Bedroom Available Immediately- With Garage! Walk to BART!,dublin/pleasanton/livermore,2975.0,1.0
703,https://sfbay.craigslist.org/pen/apa/d/mountain-view-billiards-foosball/7085269176.html,"Billiards, Foosball, Putting green, Bocce ball, 2 pools, fitness, spa",mountain view,3595.0,2.0
704,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-move-now-get-1-2-off-1st/7085263120.html,"Move Now, Get 1/2 off 1st Month on This 1 Bed, 1 Bath with Den!",santa rosa,2275.0,1.0
710,https://sfbay.craigslist.org/sby/apa/d/san-jose-coming-soon-large-bright-and/7085277336.html,Coming Soon!  Large Bright And Spacious 3x2 At Oak Park!!,san jose,2925.0,3.0
714,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-home-you-deserve/7085276581.html,The home you deserve,soma/south beach,3104.0,1.0
716,https://sfbay.craigslist.org/sby/apa/d/san-jose-bright-1x1-on-the-1st-floor/7085274685.html,►►Bright 1x1 on the 1st Floor ◄◄,san jose,2200.0,1.0
717,https://sfbay.craigslist.org/sby/apa/d/san-jose-dining-room-package-service/7085269692.html,"Dining Room, Package Service, Resident Portal, Playground Area",san jose,2175.0,1.0
718,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-month-free-or-12/7085275997.html,One Month Free or 12 Months Free Parking! Studio W/Loft Available Now!,soma/south beach,2886.0,1.0
721,https://sfbay.craigslist.org/sby/apa/d/san-jose-2332-stevens-creek-blvd-san/7085275596.html,2332 Stevens Creek Blvd. San Jose,san jose,3900.0,4.0
723,https://sfbay.craigslist.org/eby/apa/d/berkeley-large-2br-1ba-with-parking/7085275512.html,Large 2BR / 1BA with Parking Near U.C.,berkeley,3600.0,2.0
726,https://sfbay.craigslist.org/sby/apa/d/san-jose-walking-distance-to-santana/7075498847.html,Walking Distance To Santana Row.  Newly Remodeled,san jose,3900.0,3.0
729,https://sfbay.craigslist.org/sby/apa/d/san-jose-spring-forward-into-one-of-our/7085275087.html,Spring Forward Into One of Our 2 Bedroom Renovated Units!,san jose,2950.0,2.0
731,https://sfbay.craigslist.org/eby/apa/d/berkeley-huge-2-bed-4-blocks-uc/7071078065.html,Huge 2-bed 4 blocks uc Berkeley gated shops available 6/1/20,berkeley,3799.0,2.0
735,https://sfbay.craigslist.org/eby/apa/d/berkeley-huge-2-bed-4-blocks-uc/7072369213.html,Huge 2-bed 4 blocks uc Berkeley gated shops available now or 6/1/20,berkeley,3999.0,2.0
738,https://sfbay.craigslist.org/eby/apa/d/berkeley-studio-hardwood-3-blocks-ucb/7076273565.html,studio Hardwood 3 blocks UCB gated walk to shops Ava NOW!,berkeley,2049.0,1.0
744,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-br-russian-hill-apt/7079140285.html,1 BR RUSSIAN HILL APT,san francisco,3000.0,1.0
750,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bernal-heights-garden/7082805914.html,"Bernal Heights Garden Apartment- Temporary, Furnished, 3/15",san francisco,2900.0,1.0
751,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-2-bedroom-double-master/7085273738.html,2 Bedroom Double Master,santa rosa,2000.0,2.0
759,https://sfbay.craigslist.org/sby/apa/d/santa-clara-one-bedroom-one-bath-595ft/7085273391.html,One Bedroom One Bath 595ft Pool/Spa Gym Pets Ok!,san jose,2454.0,1.0
760,https://sfbay.craigslist.org/eby/apa/d/pleasanton-newly-renovated-2br-2ba-apt/7085273309.html,Newly Renovated 2BR/2BA Apt Ready For Move In,dublin/pleasanton/livermore,2619.0,2.0
761,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apartment-ready-to/7085273204.html,Studio apartment Ready to tour on 4/3,soma/south beach,3270.0,1.0
768,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-townhouse-with-backyard/7085272097.html,Townhouse with Backyard,santa rosa,2380.0,3.0
773,https://sfbay.craigslist.org/sby/apa/d/san-jose-union-park-has-all-that-you/7085271918.html,Union Park has all that you need! Close to Downtown Los Gatos!,san jose,2595.0,2.0
777,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1-bedroom-apartment-in/7082294230.html,1 bedroom apartment in Santa Clara,santa clara,1800.0,1.0
781,https://sfbay.craigslist.org/eby/apa/d/union-city-private-patios-balconies/7078021623.html,"Private Patios & Balconies, Cable Ready, Fitness Center",fremont/union city/newark,2025.0,1.0
786,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ou-are-just-steps-to/7083709122.html,"ou are just steps to Union, Chestnut and Polk streets's shopping, dini",san francisco,2200.0,1.0
787,https://sfbay.craigslist.org/sby/apa/d/san-jose-nows-the-time-to-claim-new/7085265725.html,Now’s The Time To Claim A New Modern Studio w/ 2 Mo. Free Rent!,san jose,2154.0,1.0
789,https://sfbay.craigslist.org/sby/apa/d/san-jose-pet-friendly-2x2-home-with/7085270238.html,PET-FRIENDLY 2X2 HOME WITH ACCESS TO ON-SITE PET SPA,santa clara,3896.0,2.0
790,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-charming-2-bedroom-1-bath/7085255328.html,"Charming 2 bedroom, 1 bath home",santa rosa,2050.0,2.0
791,https://sfbay.craigslist.org/eby/apa/d/fairfield-1000-off-first-month-rent/7085270220.html,$1000 OFF FIRST MONTH RENT HURRY!! on selct units,fairfield/vacaville,1792.0,1.0
792,https://sfbay.craigslist.org/sby/apa/d/santa-clara-renovated-3-bedrooms-2/7074142950.html,Renovated 3 Bedrooms 2 baths for those who like newer home,san jose,3300.0,3.0
795,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-jr-1-bedroom-with-gated/7085270023.html,Jr. 1 Bedroom with Gated Patio and Extra Storage,soma/south beach,3104.0,1.0
797,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-hiking-biking-trail-lush/7085269873.html,"Hiking/biking trail, Lush landscaping, Parcel Pending Room, Tot Lot",santa rosa,1750.0,1.0
800,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-2br-1-ba-ready-for-move-in/7071697344.html,"2br, 1 ba, ready for move-in",santa rosa,1900.0,2.0
801,https://sfbay.craigslist.org/sby/apa/d/san-jose-86-downstairs-2x1-ready-today/7085269595.html,#86 - Downstairs 2x1 Ready Today $2400,san jose,2400.0,2.0
802,https://sfbay.craigslist.org/nby/apa/d/beautiful-1-br-1-ba-like-new/7071699701.html,"Beautiful 1 br, 1 ba, Like new",santa rosa,1800.0,1.0
805,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-sunny-remodeled/7085266654.html,Gorgeous Sunny Remodeled 2Br + Private Deck + Views + Prime Pac Hts,san francisco,4700.0,2.0
808,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beacon-stunning-south/7074145476.html,"Beacon; Stunning South Beach Condo,Unobstructed city light views",soma/south beach,3950.0,1.0
809,https://sfbay.craigslist.org/sby/apa/d/san-jose-tech-filled-apt-community/7085268897.html,Tech Filled Apt. Community Unlike Any Other- Brand New Waiting For You,san jose,2411.0,1.0
810,https://sfbay.craigslist.org/eby/apa/d/pittsburg-ceiling-fans-fitness-center/7069230036.html,"Ceiling Fans, Fitness Center, BBQ/Picnic Area",pittsburg/antioch,1650.0,1.0
811,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-today-2-4/7085268835.html,***OPEN HOUSE today 2-4 Great Location!!!***,san francisco,4750.0,1.0
834,https://sfbay.craigslist.org/sby/apa/d/campbell-beautiful-west-san-jose-area/7082736421.html,"Beautiful West San Jose area, Large 1BR apt",san jose,1750.0,1.0
835,https://sfbay.craigslist.org/eby/apa/d/oakland-bbq-grill-area-professionally/7085252362.html,"BBQ Grill Area, Professionally Managed, Convenient Location",oakland/grand,3718.0,1.0
842,https://sfbay.craigslist.org/eby/apa/d/union-city-beautiful-3-bed-2-bath/7085266919.html,Beautiful 3 Bed 2 Bath Single Family Home For Rent In Fremont,fremont/union city/newark,3300.0,3.0
843,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-with-enclosed/7085266835.html,1 Bedroom with Enclosed Balcony. Ready to Move In!,soma/south beach,3143.0,1.0
847,https://sfbay.craigslist.org/sby/apa/d/san-jose-comfortable-studio-with/7085266435.html,Comfortable Studio with Balcony Available Today!,san jose,2023.0,1.0
848,https://sfbay.craigslist.org/sby/apa/d/san-jose-immediate-move-in-renovated/7085266349.html,Immediate move in! Renovated 1BR !!!,san jose,2893.0,1.0
853,https://sfbay.craigslist.org/eby/apa/d/tracy-look-and-lease-today-and-get-the/7085266001.html,LOOK AND LEASE TODAY AND GET THE REST OF THE MONTH FREE!!!,dublin/pleasanton/livermore,2095.0,2.0
859,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-6-weeks-free-on-this/7085265434.html,6 Weeks FREE on this Amazing 2X2! Call Now to Schedule Your Tour!,soma/south beach,6354.0,2.0
861,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-award-winning-resort-style/7085265273.html,AWARD WINNING RESORT STYLE LIVING IN SUNNYWALE,sunnyvale,2449.0,1.0
862,https://sfbay.craigslist.org/eby/apa/d/tracy-no-rent-until-arril-when-you-move/7085265265.html,***NO RENT UNTIL ARRIL WHEN YOU MOVE-IN TODAY!!!***,dublin/pleasanton/livermore,2095.0,2.0
866,https://sfbay.craigslist.org/sby/apa/d/upstairs-3plx-garage-d-ups/7083380783.html,"Upstairs, 3plx, garage, W/D h-ups",san jose,2100.0,2.0
869,https://sfbay.craigslist.org/eby/apa/d/tracy-make-the-commute-to-our-brand-new/7085264686.html,MAKE THE COMMUTE TO OUR BRAND NEW COMMUNITY!!!,dublin/pleasanton/livermore,2095.0,2.0
871,https://sfbay.craigslist.org/pen/apa/d/mountain-view-private-bike-lockers/7085264387.html,"Private bike lockers, Putting green, Washer/Dryer, 2 pools and spa.",mountain view,4980.0,3.0
875,https://sfbay.craigslist.org/eby/apa/d/berkeley-remodeled-craftsman-house-in/7085264238.html,"Remodeled Craftsman House in Central Berkeley, walk to Cal & Downtown",berkeley,4100.0,2.0
876,https://sfbay.craigslist.org/pen/apa/d/mountain-view-large-private-patio-or/7085264215.html,"Large private patio or balcony, Wood Floors, 2 pools, bike to Google",mountain view,3395.0,1.0
881,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-immaculate-like-new-custom/7071631201.html,"Immaculate, Like New custom built 2 Mstr. Bed/2.5 BA  w/home office",santa rosa,2295.0,2.0
885,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-2-bedroom/7081778846.html,"Newly Remodeled 2 Bedroom Condo | 2 Car Parking, W/D, BBQ | Compass",san francisco,4595.0,2.0
886,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-br-corner-unit-at-soma/7085263285.html,1 Br Corner Unit at SoMa Square,soma/south beach,3246.0,1.0
887,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4-weeks-free-co-working/7070926457.html,"4 Weeks Free! - Co-Working Lab & Coding Room, HIIT Fitness Center",san francisco,4980.0,2.0
888,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clock-tower-interior-1-br/7085263046.html,Clock Tower Interior 1 BR x 1 Bath Loft walk to CalTrain Parking incl.,soma/south beach,4600.0,1.0
889,https://sfbay.craigslist.org/eby/apa/d/fremont-2-relaxing-spas-fitness-center/7069221867.html,"2 Relaxing Spas, Fitness Center, Private Balcony",fremont/union city/newark,1875.0,1.0
893,https://sfbay.craigslist.org/sby/apa/d/san-jose-pizza-oven-stylish-features/7085262680.html,"Pizza Oven , Stylish Features, Stainless Steel Appliances",san jose,2995.0,1.0
895,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-loc-newly/7075663400.html,"Great Loc! Newly Remodeled,E-Z Fin.Dist.Hardwood",san francisco,6750.0,4.0
904,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-call-for-details-rooftop/7085261637.html,"Call for Details, Rooftop Lounge, New Community",sunnyvale,3350.0,1.0
905,https://sfbay.craigslist.org/eby/apa/d/alameda-ferry-7-min-walk-away-fenced/7085261605.html,"Ferry 7 Min Walk Away! Fenced Backyard, Premium Finishes!",oakland/grand,4330.0,4.0
907,https://sfbay.craigslist.org/eby/apa/d/oakland-studio-612-mariposa-ave/7085259624.html,STUDIO -612 Mariposa Ave,oakland/grand,1475.0,1.0
916,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-fully-furnished/7085260838.html,Gorgeous Fully Furnished Pacific Heights Condo - 6 months ~ J.Wavro,san francisco,6500.0,2.0
918,https://sfbay.craigslist.org/eby/apa/d/pittsburg-newly-remodeled-4-bed-2-bath/7070628101.html,Newly Remodeled 4 bed 2 bath single family 1500 SQ FT Pittsburg,pittsburg/antioch,2300.0,4.0
